ride_id,user_type,start_time,end_time,duration_min,start_station,end_station,vehicle_type,city,day_of_week,hour_of_day
R0001,casual,2025-04-18 19:05,2025-04-18 19:13,8,Zhan17,Zhan20,DianpingcheC,Shanghai,Friday,19
R0002,subscriber,2025-04-14 13:40,2025-04-14 13:46,6,Zhan03,Zhan05,DianpingcheB,Shanghai,Monday,13
R0003,subscriber,2025-04-18 09:17,2025-04-18 09:35,18,Zhan21,Zhan15,DianpingcheB,Shanghai,Friday,9
R0004,casual,2025-04-17 18:10,2025-04-17 18:31,21,Zhan06,Zhan25,DianpingcheC,Shanghai,Thursday,18
R0005,subscriber,2025-04-17 12:38,2025-04-17 13:06,28,Zhan07,Zhan25,DianpingcheC,Shanghai,Thursday,12
R0006,casual,2025-04-18 09:55,2025-04-18 10:37,42,Zhan10,Zhan20,DianpingcheB,Shanghai,Friday,9
R0007,casual,2025-04-16 21:33,2025-04-16 22:09,36,Zhan10,Zhan02,DianpingcheC,Shanghai,Wednesday,21
R0008,subscriber,2025-04-17 09:52,2025-04-17 10:08,16,Zhan22,Zhan24,DianpingcheC,Shanghai,Thursday,9
R0009,subscriber,2025-04-15 04:29,2025-04-15 05:09,40,Zhan12,Zhan25,DianpingcheC,Shanghai,Tuesday,4
R0010,subscriber,2025-04-19 06:10,2025-04-19 06:46,36,Zhan20,Zhan17,DianpingcheB,Shanghai,Saturday,6
R0011,subscriber,2025-04-15 18:21,2025-04-15 18:40,19,Zhan25,Zhan23,DianpingcheA,Shanghai,Tuesday,18
R0012,subscriber,2025-04-17 10:17,2025-04-17 10:56,39,Zhan10,Zhan17,DianpingcheB,Shanghai,Thursday,10
R0013,casual,2025-04-15 08:19,2025-04-15 08:33,14,Zhan11,Zhan09,DianpingcheA,Shanghai,Tuesday,8
R0014,subscriber,2025-04-18 17:06,2025-04-18 17:30,24,Zhan13,Zhan08,DianpingcheB,Shanghai,Friday,17
R0015,subscriber,2025-04-18 11:48,2025-04-18 12:08,20,Zhan11,Zhan04,DianpingcheA,Shanghai,Friday,11
R0016,subscriber,2025-04-18 17:27,2025-04-18 17:44,17,Zhan19,Zhan21,DianpingcheC,Shanghai,Friday,17
R0017,subscriber,2025-04-20 15:40,2025-04-20 16:07,27,Zhan19,Zhan24,DianpingcheB,Shanghai,Sunday,15
R0018,casual,2025-04-18 08:01,2025-04-18 08:44,43,Zhan02,Zhan18,DianpingcheA,Shanghai,Friday,8
R0019,casual,2025-04-14 18:42,2025-04-14 18:55,13,Zhan01,Zhan12,DianpingcheC,Shanghai,Monday,18
R0020,casual,2025-04-20 10:46,2025-04-20 10:51,5,Zhan16,Zhan25,DianpingcheB,Shanghai,Sunday,10
R0021,subscriber,2025-04-15 19:25,2025-04-15 19:48,23,Zhan09,Zhan20,DianpingcheA,Shanghai,Tuesday,19
R0022,subscriber,2025-04-17 08:37,2025-04-17 09:21,44,Zhan03,Zhan17,DianpingcheB,Shanghai,Thursday,8
R0023,subscriber,2025-04-20 23:42,2025-04-20 23:54,12,Zhan01,Zhan04,DianpingcheC,Shanghai,Sunday,23
R0024,casual,2025-04-16 04:22,2025-04-16 04:41,19,Zhan21,Zhan03,DianpingcheC,Shanghai,Wednesday,4
R0025,subscriber,2025-04-16 02:36,2025-04-16 03:02,26,Zhan21,Zhan10,DianpingcheA,Shanghai,Wednesday,2
R0026,casual,2025-04-20 07:57,2025-04-20 08:13,16,Zhan06,Zhan03,DianpingcheA,Shanghai,Sunday,7
R0027,subscriber,2025-04-17 17:53,2025-04-17 18:27,34,Zhan10,Zhan24,DianpingcheB,Shanghai,Thursday,17
R0028,casual,2025-04-18 22:01,2025-04-18 22:33,32,Zhan19,Zhan17,DianpingcheB,Shanghai,Friday,22
R0029,subscriber,2025-04-17 12:12,2025-04-17 12:21,9,Zhan21,Zhan02,DianpingcheB,Shanghai,Thursday,12
R0030,subscriber,2025-04-16 18:37,2025-04-16 19:04,27,Zhan23,Zhan15,DianpingcheB,Shanghai,Wednesday,18
